,tags,volume
150,yara:upx_v0896_v102_v105_v124_markus_laszlo_overlay_additional,15
151,yara:delphi_strtoint,14
152,yara:vmdetect,14
153,yara:petite_v21_2,11
154,yara:petite_v21_2_hint_win_ep,11
155,yara:sha1_constants,11
156,yara:blowfish_constants,11
157,yara:delphi_formshow,11
158,yara:ripemd160_constants,11
159,yara:petite21,11
160,yara:petite_v21,11
161,yara:fsg_v110_eng_dulekxt_borland_delphi_borland_cpp_additional,11
162,yara:packerpetite_v22_compresor_wwwun4seencompetite,11
163,yara:petite_v21_2_additional,11
164,yara:petite_v21_additional,11
165,yara:petite_v21_ian_luck,11
166,yara:petite_v22_compresor_wwwun4seencompetite,11
167,yara:petite_v22_wwwun4seencompetite,11
168,yara:petite_v22_wwwun4seencompetite_additional,11
169,yara:petitev21,11
170,yara:petitev212,11
171,yara:isbeyondimagesize,10
172,yara:big_numbers3,10
173,yara:network_tcp_listen,10
174,yara:armadillo_v4x,10
175,yara:upack_v039_final_dwing_h,9
176,yara:rijndael_aes,9
177,yara:upack_v039_final_sign_by_hot_unp_additional,9
178,yara:winupack_v039_final_by_dwing_c2005_h1_additional,9
179,yara:winupackv039finalbydwingc2005h1,9
180,yara:winupack_v039_final_by_dwing_c2005,9
181,yara:bobsoftminidelphibobbobsoft,9
182,yara:big_numbers2,9
183,yara:winupack_v039_final_by_dwing_c2005_additional,9
184,yara:upack_v039_final_sign_by_hot_unp,9
185,yara:winupack_v039_final_by_dwing_c2005_h1,9
186,yara:bobsoft_mini_delphi_bob_bobsoft_additional,9
187,yara:microsoft_visual_cpp_8,9
188,yara:upack_v0399_dwing_additional,9
189,yara:upack_v039_final,9
190,yara:vc8_microsoft_corporation,9
191,yara:vmprotect_1704_phpbb3,8
192,yara:upx_293_lzma,8
193,yara:upx_293_lzma_additional,8
194,yara:upx_302,8
195,yara:upx_v30_exe_lzma_markus_oberhumer_laszlo_molnar_john_reiser_additional,8
196,yara:upx293300lzmamarkusoberhumerlaszlomolnarjohnreiser,8
197,yara:upx_293_300_lzma,8
198,yara:upx_v30_exe_lzma_markus_oberhumer_laszlo_molnar_john_reiser,8
199,yara:upx_293_300_lzma_markus_oberhumer_laszlo_molnar_john_reiser,8
200,yara:upack_0399_dwing,7
201,yara:without_attachments,7
202,yara:seh__vectored,7
203,yara:nullsoft_pimp_stub_sfx,7
204,yara:upack_v036_beta_dwing_additional,7
205,yara:upack_v010_v012beta_sign_by_hot_unp,7
206,yara:upackv0399dwing,7
207,yara:upack_v010_v012beta_sign_by_hot_unp_additional,7
208,yara:network_smtp_raw,7
209,yara:iceid_bank_trojan,6
210,yara:generatetlsclienthellopacket_test,6
211,yara:with_images,6
212,yara:seh__vba,6
213,yara:upackv036alphadwing,6
214,yara:microsoft_visual_basic_v50v60_additional,6
215,yara:microsoft_visual_basic_v50v60,6
216,yara:borland_delphi_v60_v70_additional,6
217,yara:microsoft_visual_basic_v50_v60,6
218,yara:microsoft_visual_basic_v50_additional,6
219,yara:visual_cpp_2005_release_microsoft,6
220,yara:rat_webcam,6
221,yara:fgint_findprimegoodcurveandpoint,6
222,yara:rc6_constants,6
223,yara:delphi_decodedate,6
224,yara:with_urls,6
225,yara:crc32b_poly_constant,5
226,yara:upack_037_beta_dwing_additional,5
227,yara:importtableisbad,5
228,yara:upackv036betadwing,5
229,yara:microsoft_visual_cpp_v60_dll_additional,5
230,yara:safeguard_103_simonzh,5
231,yara:big_numbers0,5
232,yara:ahteam_ep_protector_03_fake_pcguard_403_415_feuerrader,5
233,yara:md5_api,5
234,yara:microjoiner_17_coban2k_additional,5
235,yara:upack_037_beta_dwing,5
236,yara:sha512_constants,5
237,yara:upack_v036_beta_dwing,5
238,yara:sha2_blake2_ivs,5
239,yara:upackv036dwing,5
240,yara:cred_local,5
241,yara:whirlpool_constants,5
242,yara:aspack_v212_alexey_solodovnikov,4
243,yara:aspack_v212_additional,4
244,yara:asprotect_v2x_dll_alexey_solodovnikov_additional,4
245,yara:aspack_v21_additional,4
246,yara:aspack_v212,4
247,yara:rat_rdp,4
248,yara:asprotect_v2x_dll_alexey_solodovnikov,4
249,yara:aspackv212alexeysolodovnikov,4
250,yara:protectsharewarev11ecompservcms,4
251,yara:cryptolockv202engryanthian,4
252,yara:asprotectv2xdllalexeysolodovnikov,4
253,yara:aspack_v211d,4
254,yara:create_service,4
255,yara:disable_firewall,4
256,yara:nspack_3x_liu_xing_ping,4
257,yara:nspack_3x_liu_xing_ping_additional,4
258,yara:hijack_network,4
259,yara:aspack_212withouth_poly_solodovnikov_alexey,4
260,yara:disable_antivirus,4
261,yara:codevirtualizer1310oreanstechnologies,3
262,yara:cap_hookexkeylogger,3
263,yara:sniff_audio,3
264,yara:isconsole,3
265,yara:visual_cpp_2003_dll_microsoft,3
266,yara:hasdigitalsignature,3
267,yara:acidcrypt_additional,2
268,yara:_pseudosigner_02_fsg_131_anorganix,2
269,yara:_pseudosigner_02_fsg_131,2
270,yara:zprotect_v144_lifeengines,2
271,yara:rar_sfx_additional,2
272,yara:nspack14bynorthstarliuxingping,2
273,yara:mingw_1,2
274,yara:mingw_gcc_3x,2
275,yara:mingw_gcc_3x_additional,2
276,yara:mingwgcc3x,2
277,yara:mingwin32_gcc_3x,2
278,yara:mingwin32_gcc_3x_additional,2
279,yara:mingwin32_v,2
280,yara:mingwin32_v_h,2
281,yara:mingwin32_v_h_additional,2
282,yara:rar_sfx,2
283,yara:fsgv20,2
284,yara:fsg_131_dulekxt_,2
285,yara:fsg_131_dulekxt,2
286,yara:fsg131dulekxt,2
287,yara:network_ssl,2
288,yara:cookietools,2
289,yara:debuggerexception__setconsolectrl,2
290,yara:installer_vise_custom_additional,2
291,yara:pseudosigner_02_fsg_131_anorganix,2
292,yara:pseudosigner_02_fsg_131,2
293,yara:pseudosigner02fsg131anorganix,2
294,yara:borland_delphi_v60_v70,2
295,yara:nspack_v37_liuxingping,2
296,yara:nspackv37liuxingping,2
297,yara:installer_vise_custom,2
298,yara:nspack_v37_north_star_h_additional,2
299,yara:nspack_v37_north_star_h,2
300,yara:nspack_v37_north_star,2
301,yara:nspack_v37_liuxingping_additional,2
302,yara:upack_v029_beta_v031_beta_sign_by_hot_unp_additional,1
303,yara:upack_v029_beta_v031_beta_sign_by_hot_unp,1
304,yara:upack_v029_beta_v031_beta_dwing,1
305,yara:upack_v029_v031_dwing_20080321,1
306,yara:upack_v029_v031_dwingnbsp_nbsp_signbyfly_20080321,1
307,yara:upack_v032_dwing_20080321,1
308,yara:vc6_random,1
309,yara:yodas_protector_v102b_ashkbiz_danehkar,1
310,yara:upxprotectorv10x2,1
311,yara:upack_v029_beta_v031_beta,1
312,yara:without_urls,1
313,yara:yodas_protector_102b_ashkbiz_danehkar,1
314,yara:xhider10global,1
315,yara:upack_v032_dwingnbsp_nbsp_signbyfly_20080321,1
316,yara:upx_v0896_v102_v105_v122_delphi_stub_additional,1
317,yara:without_images,1
318,yara:upx_v0896_v102_v105_v122_delphi_stub,1
319,yara:visual_cpp_2005_dll_microsoft,1
320,yara:upx_1_00_to_1_07,1
321,yara:upackv029betav031betadwing,1
322,yara:upackv024v028alphadwing,1
323,yara:upackv01xv02xdwing,1
324,yara:upx_v0896_v102_v105_v122_delphi_stub_laszlo_markus,1
325,misc:html,1
326,yara:upack_v024_v028alpha_sign_by_hot_unp_additional,1
327,yara:mew_11_se_11_northfox,1
328,yara:exe_additional,1
329,yara:exporttableisbad,1
330,yara:fsg_20_bartxt,1
331,yara:fsg_v110_eng_dulekxt_microsoft_visual_c_basic_net,1
332,yara:fsg_v20,1
333,yara:fsg_v20_additional,1
334,yara:fsg_v20_bartxt,1
335,yara:fsgv20bartxt,1
336,yara:grozlex,1
337,yara:mew_11_se_12,1
338,yara:microsoft_cab_sfx_additional,1
339,yara:mew_11_se_12_additional,1
340,yara:mew_11_se_v11_northfox,1
341,yara:mew_11_se_v11_northfox_hcc,1
342,yara:mew_11_se_v11_northfox_hcc_additional,1
343,yara:mew_11_se_v12_eng_northfox,1
344,yara:mew_11_se_v12_eng_northfox_,1
345,yara:mew_11_se_v12_northfoxhcc,1
346,yara:mew_11_se_v12_northfoxhcc_additional,1
347,yara:mew_11_xx,1
348,yara:exe_,1
349,yara:delphi_randomrange,1
350,yara:cred_ie7,1
351,yara:borland_delphi_v50_kolmck,1
352,yara:_pseudosigner_02_yodas_protector_102,1
353,yara:_pseudosigner_02_yodas_protector_102_anorganix,1
354,yara:_pseudosigner_02_yodas_protector_102_anorganix_additional,1
355,yara:antivm_vmware,1
356,yara:aspack_v10804_additional,1
357,yara:aspack_v10804_hint_win_ep,1
358,yara:asprotect13321registeredalexeysolodovnikov,1
359,yara:asprotect_133_21_registered_alexey_solodovnikov,1
360,yara:asprotect_133_21_registered_alexey_solodovnikov_additional,1
361,yara:asprotect_v11_brs,1
362,yara:asprotect_v12x_new_strain,1
363,yara:asprotect_v12x_new_strain_additional,1
364,yara:asprotect_v2x_registered_alexey_solodovnikov,1
365,yara:asprotectske21xexealexeysolodovnikov,1
366,yara:asprotectv12xnewstrain,1
367,yara:beroexepackerv100bero,1
368,yara:borland_delphi_50_kolmck,1
369,yara:borland_delphi_dll_additional,1
370,yara:borland_delphi_v50_kol,1
371,yara:microsoft_cab_sfx,1
372,yara:mingwin32_gcc_v3x,1
373,yara:upack_v024_v028alpha_sign_by_hot_unp,1
374,yara:upack_024_027_beta_028_alpha_dwing,1
375,yara:purebasic_dll_neil_hodgson_additional,1
376,yara:purebasicdll,1
377,yara:purebasicdllneilhodgson,1
378,yara:rijndael_aes_char,1
379,yara:rookie,1
380,yara:rookiestrings,1
381,yara:sniff_lan,1
382,yara:upack024027beta028alphadwing,1
383,yara:upack_01x_020_021_024_beta_dwing,1
384,yara:upack_024_027_beta_028_alpha_dwing_,1
385,yara:mslrh_v031_emadicius,1
386,yara:upack_024_beta_dwing,1
387,yara:upack_024_beta_dwing_additional,1
388,yara:upack_02x_beta_dwing,1
389,yara:upack_02x_dwing,1
390,yara:upack_v01x_v02x_dwing,1
391,yara:upack_v01x_v02x_dwing_additional,1
392,yara:upack_v024_v028_alpha_dwing,1
393,yara:upack_v024_v028_dwing_20080321,1
394,yara:upack_v024_v028_dwingnbsp_nbsp_signbyfly_20080321,1
395,yara:purebasic_dll_neil_hodgson,1
396,yara:pseudosigner_02_yodas_protector_102_anorganix,1
397,yara:pseudosigner02yodasprotector102anorganix,1
398,yara:ntkrnlsecuresuitentkrnlteam,1
399,yara:nspack3xliuxingping,1
400,yara:nspack_31_by_north_star_liu_xing_ping,1
401,yara:nspack_31_by_north_star_liu_xing_ping_additional,1
